Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.76,0.74,0.76,0.76,0.76
Czu³oœæ,0.75,0.7647058823529411,0.7777777777777778,0.7777777777777778,0.7777777777777778
Precyzja,0.4,0.4090909090909091,0.4166666666666667,0.4166666666666667,0.4166666666666667
Swoistoœæ,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.7674418604651163
F1,0.5,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5217391304347826
Zbalansowana dok³adnoœæ,0.7408637873754154,0.7523809523809524,0.756578947368421,0.7559523809523809,0.7599206349206349
Œrednia geometryczna,0.7374684055082,0.7483314773547882,0.7546680127869536,0.7559289460184544,0.7559289460184544
