Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.74,0.74,0.76,0.76,0.76
Czu³oœæ,0.7272727272727273,0.75,0.75,0.75,0.75
Precyzja,0.4117647058823529,0.4166666666666667,0.42105263157894735,0.42857142857142855,0.42105263157894735
Swoistoœæ,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7567567567567568,0.7567567567567568
F1,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347827,0.5333333333333333
Zbalansowana dok³adnoœæ,0.7412280701754386,0.7547425474254743,0.7571428571428571,0.7547425474254743,0.7615176151761518
Œrednia geometryczna,0.7385489458759964,0.7524469885568253,0.7559289460184544,0.7507900084952972,0.7543909404658241
