Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.7,0.72,0.72,0.72,0.72
Czu³oœæ,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
Precyzja,0.3684210526315789,0.375,0.38095238095238093,0.375,0.38095238095238093
Swoistoœæ,0.7027027027027027,0.7,0.7,0.7,0.7
F1,0.4999999999999999,0.5,0.5000000000000001,0.5000000000000001,0.5142857142857143
Zbalansowana dok³adnoœæ,0.7249322493224932,0.7333333333333334,0.7357723577235773,0.7424242424242424,0.7482517482517483
Œrednia geometryczna,0.7211102550927979,0.7290826165764892,0.7348469228349535,0.7353859808240437,0.7380798769522882
