Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.7,0.72,0.72,0.7,0.72
Czu³oœæ,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7857142857142857,0.8
Precyzja,0.35294117647058826,0.375,0.375,0.375,0.38095238095238093
Swoistoœæ,0.6923076923076923,0.6976744186046512,0.7,0.7,0.7
F1,0.48484848484848486,0.5,0.5,0.5,0.5
Zbalansowana dok³adnoœæ,0.7250000000000001,0.7400793650793651,0.7412280701754386,0.7440476190476191,0.7425474254742548
Œrednia geometryczna,0.7211102550927979,0.7353859808240437,0.7359800721939873,0.7385489458759964,0.7386710503565985
