Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.7,0.7,0.72,0.7,0.72
Czu³oœæ,0.75,0.7692307692307693,0.7777777777777778,0.7857142857142857,0.7857142857142857
Precyzja,0.38095238095238093,0.3888888888888889,0.38095238095238093,0.38095238095238093,0.38095238095238093
Swoistoœæ,0.6904761904761905,0.7045454545454546,0.696969696969697,0.6976744186046512,0.6944444444444444
F1,0.5,0.5,0.5161290322580645,0.5161290322580645,0.5161290322580645
Zbalansowana dok³adnoœæ,0.7222222222222223,0.7296037296037297,0.7425249169435215,0.7440476190476191,0.7470238095238095
Œrednia geometryczna,0.7196229171289243,0.7250615737399726,0.7359800721939873,0.7366271394807162,0.7408485330055995
