Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.74,0.76,0.76,0.74,0.74
Czu³oœæ,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7272727272727273
Precyzja,0.4,0.4,0.4117647058823529,0.4,0.4117647058823529
Swoistoœæ,0.7560975609756098,0.7560975609756098,0.75,0.75,0.75
F1,0.5161290322580645,0.5185185185185185,0.5217391304347826,0.5217391304347825,0.5294117647058824
Zbalansowana dok³adnoœæ,0.7412587412587412,0.7412587412587412,0.7482517482517483,0.7479674796747967,0.7482517482517483
Œrednia geometryczna,0.7403868971524841,0.7403868971524841,0.7453559924999299,0.7417111980784795,0.7435358286291821
