Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.72,0.72,0.72,0.72,0.7
Czu³oœæ,0.13333333333333333,0.14285714285714285,0.125,0.09090909090909091,0.14285714285714285
Precyzja,nan,nan,nan,nan,nan
Swoistoœæ,0.8837209302325582,0.8571428571428571,0.9024390243902439,0.8857142857142857,0.8611111111111112
F1,0.13793103448275862,0.125,0.14634146341463414,0.1111111111111111,0.13636363636363635
Zbalansowana dok³adnoœæ,0.5,0.5,0.5,0.5,0.5
Œrednia geometryczna,0.30000000000000004,0.2754646235137791,0.28097574347450816,0.25776963111323353,0.28867513459481287
