Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.74,0.74,0.72,0.7,0.72
Czu³oœæ,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Precyzja,nan,nan,nan,nan,nan
Swoistoœæ,0.9230769230769231,0.9069767441860465,0.9166666666666666,0.8809523809523809,0.9142857142857143
F1,0.1,0.10526315789473685,0.1111111111111111,0.08695652173913043,0.08333333333333334
Zbalansowana dok³adnoœæ,0.5,0.5,0.5,0.5,0.5
Œrednia geometryczna,0.2544836041121407,0.2688141965393053,0.26490647141300877,0.15794943794779692,0.23836564731139806
