Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.7,0.7,0.72,0.72,0.72
Czu³oœæ,0.75,0.7777777777777778,0.7777777777777778,0.7857142857142857,0.8
Precyzja,0.3684210526315789,0.36363636363636365,0.375,0.375,0.38095238095238093
Swoistoœæ,0.6923076923076923,0.6976744186046512,0.7,0.7,0.7027027027027027
F1,0.5,0.5,0.5,0.5,0.5142857142857142
Zbalansowana dok³adnoœæ,0.7333333333333334,0.738045738045738,0.7425249169435215,0.7371273712737128,0.7380952380952381
Œrednia geometryczna,0.7290826165764892,0.7336252313453001,0.7348469228349535,0.7302967433402214,0.7348469228349535
