Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.74,0.76,0.74,0.74,0.76
Czu³oœæ,0.7142857142857143,0.75,0.75,0.75,0.75
Precyzja,0.4,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.42105263157894735
Swoistoœæ,0.75,0.7555555555555555,0.7560975609756098,0.7567567567567568,0.7608695652173914
F1,0.5,0.5161290322580645,0.5161290322580645,0.5185185185185185,0.5217391304347825
Zbalansowana dok³adnoœæ,0.7375,0.7479674796747967,0.743421052631579,0.7537878787878788,0.7543859649122806
Œrednia geometryczna,0.7353859808240437,0.7435358286291821,0.7433919416750281,0.7492686492653552,0.7492686492653552
