Metryka,Powtórzenie_1,Powtórzenie_2,Powtórzenie_3,Powtórzenie_4,Powtórzenie_5
Dok³adnoœæ,0.7,0.72,0.7,0.72,0.72
Czu³oœæ,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
Precyzja,0.375,0.375,0.38095238095238093,0.38095238095238093,0.3888888888888889
Swoistoœæ,0.7045454545454546,0.7,0.7,0.6944444444444444,0.7027027027027027
F1,0.4999999999999999,0.5142857142857142,0.5,0.5161290322580644,0.5161290322580644
Zbalansowana dok³adnoœæ,0.7474012474012475,0.75,0.75,0.7589285714285714,0.7589285714285714
Œrednia geometryczna,0.7400128699009549,0.7423685817106696,0.7433919416750281,0.7489830503797116,0.7470873676376284
