Chunk,Dok³adnoœæ,Czu³oœæ,Precyzja,Swoistoœæ,F1,Zbalansowana dok³adnoœæ,Œrednia geometryczna
70,0.68,0.21428571428571427,0.375,0.8611111111111112,0.2727272727272727,0.5376984126984127,0.4295623464921123
71,0.8,0.5555555555555556,0.45454545454545453,0.8536585365853658,0.5,0.7046070460704608,0.6886615587844478
72,0.7,0.6,0.5,0.7428571428571429,0.5454545454545454,0.6714285714285715,0.6676183683170241
73,0.72,0.4444444444444444,0.3076923076923077,0.7804878048780488,0.3636363636363637,0.6124661246612466,0.5889681390658482
74,0.72,0.4444444444444444,0.3076923076923077,0.7804878048780488,0.3636363636363637,0.6124661246612466,0.5889681390658482
75,0.74,0.5,0.38461538461538464,0.8,0.4347826086956522,0.65,0.6324555320336759
76,0.74,0.14285714285714285,0.125,0.8372093023255814,0.13333333333333333,0.49003322259136217,0.345834250622541
77,0.68,0.42857142857142855,0.42857142857142855,0.7777777777777778,0.42857142857142855,0.6031746031746031,0.5773502691896257
78,0.7,0.5,0.3333333333333333,0.75,0.4,0.625,0.6123724356957945
79,0.74,0.4,0.36363636363636365,0.825,0.380952380952381,0.6125,0.5744562646538028
80,0.72,0.25,0.08333333333333333,0.7608695652173914,0.125,0.5054347826086957,0.4361391879943235
81,0.8,0.7142857142857143,0.38461538461538464,0.813953488372093,0.5,0.7641196013289037,0.7624928516630234
82,0.76,0.625,0.35714285714285715,0.7857142857142857,0.45454545454545453,0.7053571428571428,0.7007648882267351
83,0.7,0.45454545454545453,0.35714285714285715,0.7692307692307693,0.4,0.6118881118881119,0.5913123959890826
84,0.7,0.5,0.4,0.7631578947368421,0.4444444444444445,0.631578947368421,0.6177207681213422
85,0.72,0.5,0.42857142857142855,0.7894736842105263,0.4615384615384615,0.6447368421052632,0.6282808624375432
86,0.74,0.5454545454545454,0.42857142857142855,0.7948717948717948,0.4799999999999999,0.6701631701631701,0.6584576171375296
87,0.84,0.875,0.5,0.8333333333333334,0.6363636363636364,0.8541666666666667,0.8539125638299666
88,0.76,0.5,0.4166666666666667,0.825,0.45454545454545453,0.6625,0.6422616289332564
89,0.72,0.4,0.3333333333333333,0.8,0.3636363636363636,0.6000000000000001,0.5656854249492381
90,0.78,0.375,0.3333333333333333,0.8571428571428571,0.35294117647058826,0.6160714285714286,0.5669467095138409
91,0.78,0.6,0.46153846153846156,0.825,0.5217391304347826,0.7124999999999999,0.7035623639735143
92,0.68,0.7,0.35,0.675,0.4666666666666667,0.6875,0.687386354243376
93,0.7,0.125,0.1111111111111111,0.8095238095238095,0.11764705882352941,0.46726190476190477,0.3181045051401759
94,0.72,0.42857142857142855,0.23076923076923078,0.7674418604651163,0.3,0.5980066445182725,0.5735012244843509
95,0.72,0.7142857142857143,0.29411764705882354,0.7209302325581395,0.4166666666666667,0.717607973421927,0.7176002829660512
96,0.68,0.5333333333333333,0.47058823529411764,0.7428571428571429,0.5,0.638095238095238,0.6294366339755545
97,0.66,0.3333333333333333,0.21428571428571427,0.7317073170731707,0.2608695652173913,0.532520325203252,0.4938647983247948
98,0.74,0.6,0.4,0.775,0.48,0.6875,0.6819090848492928
99,0.72,0.6666666666666666,0.35294117647058826,0.7317073170731707,0.46153846153846156,0.6991869918699187,0.6984302957695782
100,0.68,0.42857142857142855,0.2,0.7209302325581395,0.27272727272727276,0.574750830564784,0.5558507890322493
101,0.8,0.625,0.4166666666666667,0.8333333333333334,0.5,0.7291666666666667,0.7216878364870323
102,0.74,0.5833333333333334,0.4666666666666667,0.7894736842105263,0.5185185185185186,0.6864035087719298,0.6786208925382962
103,0.76,0.7777777777777778,0.4117647058823529,0.7560975609756098,0.5384615384615384,0.7669376693766938,0.7668610570102041
104,0.66,0.375,0.2,0.7142857142857143,0.26086956521739135,0.5446428571428572,0.5175491695067657
105,0.7,0.4444444444444444,0.2857142857142857,0.7560975609756098,0.34782608695652173,0.6002710027100271,0.5796924705683215
106,0.78,0.625,0.38461538461538464,0.8095238095238095,0.4761904761904762,0.7172619047619048,0.7113032974423645
107,0.8,0.8333333333333334,0.35714285714285715,0.7954545454545454,0.5,0.8143939393939394,0.814173684098662
108,0.7,0.5384615384615384,0.4375,0.7567567567567568,0.4827586206896552,0.6476091476091477,0.6383450536225745
109,0.64,0.5714285714285714,0.21052631578947367,0.6511627906976745,0.3076923076923077,0.6112956810631229,0.6099942813304187
110,0.8,0.7142857142857143,0.38461538461538464,0.813953488372093,0.5,0.7641196013289037,0.7624928516630234
111,0.8,0.7272727272727273,0.5333333333333333,0.8205128205128205,0.6153846153846153,0.7738927738927739,0.7724872793364281
112,0.8,0.6666666666666666,0.46153846153846156,0.8292682926829268,0.5454545454545455,0.7479674796747967,0.7435358286291821
