Chunk,Dok³adnoœæ,Czu³oœæ,Precyzja,Swoistoœæ,F1,Zbalansowana dok³adnoœæ,Œrednia geometryczna
0,0.76,0.0,nan,1.0,0.0,0.5,0.0
1,0.8,0.0,nan,1.0,0.0,0.5,0.0
2,0.44,0.8888888888888888,0.22857142857142856,0.34146341463414637,0.3636363636363636,0.6151761517615176,0.5509292470275582
3,0.24,0.7777777777777778,0.16279069767441862,0.12195121951219512,0.2692307692307693,0.44986449864498645,0.3079788117865986
4,0.7,0.6,0.1875,0.7111111111111111,0.2857142857142857,0.6555555555555556,0.6531972647421809
5,0.68,0.2857142857142857,0.4,0.8333333333333334,0.3333333333333333,0.5595238095238095,0.4879500364742666
6,0.72,0.0,nan,1.0,0.0,0.5,0.0
7,0.76,0.0,nan,1.0,0.0,0.5,0.0
8,0.72,0.0,nan,1.0,0.0,0.5,0.0
9,0.84,0.0,nan,1.0,0.0,0.5,0.0
10,0.38,0.5555555555555556,0.15625,0.34146341463414637,0.24390243902439024,0.448509485094851,0.4355478125521585
11,0.8,0.2,0.5,0.95,0.28571428571428575,0.575,0.43588989435406733
12,0.18,1.0,0.16326530612244897,0.023809523809523808,0.2807017543859649,0.5119047619047619,0.1543033499620919
13,0.28,0.75,0.21428571428571427,0.13157894736842105,0.3333333333333333,0.4407894736842105,0.3141404312187716
14,0.84,0.0,nan,1.0,0.0,0.5,0.0
15,0.74,0.1111111111111111,0.16666666666666666,0.8780487804878049,0.13333333333333333,0.49457994579945797,0.3123475237772121
16,0.74,0.2,0.2857142857142857,0.875,0.23529411764705882,0.5375,0.4183300132670378
17,0.62,0.1,0.09090909090909091,0.75,0.09523809523809525,0.425,0.2738612787525831
18,0.56,0.25,0.1875,0.6578947368421053,0.21428571428571427,0.45394736842105265,0.40555355282690636
19,0.8,0.0,nan,1.0,0.0,0.5,0.0
20,0.44,0.16666666666666666,0.041666666666666664,0.4772727272727273,0.06666666666666667,0.32196969696969696,0.2820380374088831
21,0.34,0.2857142857142857,0.06666666666666667,0.3488372093023256,0.10810810810810811,0.31727574750830567,0.31570203370643457
22,0.56,0.5,0.2727272727272727,0.5789473684210527,0.3529411764705882,0.5394736842105263,0.5380275868489703
23,0.88,0.0,nan,1.0,0.0,0.5,0.0
24,0.76,0.0,0.0,0.8444444444444444,0.0,0.4222222222222222,0.0
25,0.84,0.0,nan,1.0,0.0,0.5,0.0
26,0.58,0.4,0.21052631578947367,0.625,0.27586206896551724,0.5125,0.5
27,0.46,0.6363636363636364,0.23333333333333334,0.41025641025641024,0.34146341463414637,0.5233100233100233,0.5109523080212683
28,0.84,0.0,nan,1.0,0.0,0.5,0.0
29,0.72,0.09090909090909091,0.2,0.8974358974358975,0.12500000000000003,0.4941724941724942,0.2856310234989918
30,0.82,0.0,nan,1.0,0.0,0.5,0.0
31,0.48,0.46153846153846156,0.24,0.4864864864864865,0.3157894736842105,0.47401247401247404,0.47384831384339077
32,0.72,0.0,nan,1.0,0.0,0.5,0.0
33,0.82,0.0,nan,1.0,0.0,0.5,0.0
34,0.78,0.0,0.0,0.9069767441860465,0.0,0.45348837209302323,0.0
35,0.8,0.0,0.0,0.975609756097561,0.0,0.4878048780487805,0.0
36,0.64,0.8181818181818182,0.36,0.5897435897435898,0.5,0.703962703962704,0.6946347835499476
37,0.88,0.0,nan,1.0,0.0,0.5,0.0
