Chunk,Dok³adnoœæ,Czu³oœæ,Precyzja,Swoistoœæ,F1,Zbalansowana dok³adnoœæ,Œrednia geometryczna
0,0.62,0.17647058823529413,0.375,0.8484848484848485,0.24,0.5124777183600713,0.3869529949759475
1,0.62,0.5454545454545454,0.3,0.6410256410256411,0.3870967741935483,0.5932400932400932,0.5913123959890826
2,0.82,0.0,nan,1.0,0.0,0.5,0.0
3,0.62,0.07692307692307693,0.125,0.8108108108108109,0.09523809523809525,0.4438669438669439,0.24973998952923493
4,0.88,0.0,nan,1.0,0.0,0.5,0.0
5,0.7,0.07142857142857142,0.3333333333333333,0.9444444444444444,0.11764705882352941,0.5079365079365079,0.25973124082465987
6,0.78,0.0,nan,1.0,0.0,0.5,0.0
7,0.7,0.0,nan,1.0,0.0,0.5,0.0
8,0.78,0.0,nan,1.0,0.0,0.5,0.0
9,0.74,0.0,nan,1.0,0.0,0.5,0.0
10,0.8,0.0,nan,1.0,0.0,0.5,0.0
11,0.62,0.1,0.09090909090909091,0.75,0.09523809523809525,0.425,0.2738612787525831
12,0.78,0.0,0.0,0.8863636363636364,0.0,0.4431818181818182,0.0
13,0.52,0.0,0.0,0.6341463414634146,0.0,0.3170731707317073,0.0
14,0.38,1.0,0.2619047619047619,0.20512820512820512,0.41509433962264153,0.6025641025641025,0.4529108136578383
15,0.92,0.0,nan,1.0,0.0,0.5,0.0
16,0.84,0.0,nan,1.0,0.0,0.5,0.0
17,0.68,0.09090909090909091,0.14285714285714285,0.8461538461538461,0.1111111111111111,0.46853146853146854,0.2773500981126146
18,0.72,0.0,nan,1.0,0.0,0.5,0.0
19,0.88,0.0,nan,1.0,0.0,0.5,0.0
20,0.9,0.0,nan,1.0,0.0,0.5,0.0
21,0.74,0.0,nan,1.0,0.0,0.5,0.0
22,0.86,0.0,nan,1.0,0.0,0.5,0.0
23,0.76,0.0,0.0,0.926829268292683,0.0,0.4634146341463415,0.0
24,0.52,0.4,0.08695652173913043,0.5333333333333333,0.14285714285714285,0.4666666666666667,0.46188021535170065
25,0.8,0.0,0.0,0.9523809523809523,0.0,0.47619047619047616,0.0
26,0.78,0.1,0.3333333333333333,0.95,0.15384615384615383,0.525,0.3082207001484488
27,0.76,0.0,0.0,0.8837209302325582,0.0,0.4418604651162791,0.0
28,0.76,0.0,0.0,0.9743589743589743,0.0,0.48717948717948717,0.0
29,0.8,0.0,nan,1.0,0.0,0.5,0.0
30,0.28,0.6153846153846154,0.20512820512820512,0.16216216216216217,0.3076923076923077,0.3887733887733888,0.31589887589559384
31,0.76,0.0,nan,1.0,0.0,0.5,0.0
32,0.76,0.0,nan,1.0,0.0,0.5,0.0
33,0.9,0.0,nan,1.0,0.0,0.5,0.0
